id,label
1,deer
2,deer
3,automobile
4,automobile
5,airplane
6,cat
7,airplane
8,deer
9,bird
10,frog
11,bird
12,bird
13,bird
14,truck
15,frog
16,automobile
17,deer
18,bird
19,ship
20,deer
21,airplane
22,airplane
23,frog
24,truck
25,frog
26,ship
27,automobile
28,deer
29,cat
30,truck
31,horse
32,horse
33,dog
34,bird
35,bird
36,cat
37,deer
38,dog
39,ship
40,cat
41,frog
42,deer
43,frog
44,dog
45,horse
46,automobile
47,frog
48,cat
49,airplane
50,truck
51,frog
52,horse
53,frog
54,frog
55,ship
56,ship
57,dog
58,frog
59,airplane
60,ship
61,deer
62,cat
63,deer
64,frog
65,ship
66,automobile
67,truck
68,truck
69,dog
70,dog
71,truck
72,frog
73,deer
74,frog
75,frog
76,truck
77,airplane
78,frog
79,frog
80,deer
81,horse
82,deer
83,airplane
84,cat
85,frog
86,frog
87,dog
88,bird
89,deer
90,airplane
91,ship
92,airplane
93,frog
94,deer
95,automobile
96,frog
97,deer
98,ship
99,truck
100,bird
101,deer
102,deer
103,deer
104,cat
105,airplane
106,deer
107,automobile
108,frog
109,frog
110,deer
111,frog
112,deer
113,deer
114,deer
115,truck
116,horse
117,deer
118,frog
119,truck
120,deer
121,deer
122,automobile
123,horse
124,frog
125,airplane
126,bird
127,deer
128,horse
129,deer
130,frog
131,horse
132,deer
133,automobile
134,automobile
135,cat
136,frog
137,deer
138,frog
139,deer
140,automobile
141,deer
142,dog
143,deer
144,ship
145,deer
146,frog
147,frog
148,ship
149,dog
150,frog
151,deer
152,dog
153,dog
154,truck
155,truck
156,horse
157,airplane
158,airplane
159,deer
160,deer
161,deer
162,frog
163,frog
164,dog
165,frog
166,automobile
167,frog
168,cat
169,frog
170,frog
171,bird
172,frog
173,ship
174,frog
175,bird
176,airplane
177,deer
178,automobile
179,airplane
180,automobile
181,frog
182,truck
183,deer
184,cat
185,deer
186,deer
187,ship
188,truck
189,deer
190,horse
191,deer
192,ship
193,airplane
194,dog
195,truck
196,bird
197,frog
198,deer
199,ship
200,bird
201,ship
202,cat
203,airplane
204,dog
205,airplane
206,bird
207,bird
208,bird
209,frog
210,ship
211,automobile
212,horse
213,horse
214,cat
215,cat
216,cat
217,cat
218,airplane
219,ship
220,bird
221,cat
222,ship
223,frog
224,truck
225,automobile
226,deer
227,truck
228,bird
229,deer
230,cat
231,bird
232,deer
233,cat
234,deer
235,horse
236,frog
237,deer
238,horse
239,truck
240,ship
241,automobile
242,truck
243,deer
244,cat
245,ship
246,deer
247,frog
248,truck
249,cat
250,ship
251,deer
252,ship
253,frog
254,airplane
255,bird
256,frog
257,frog
258,automobile
259,deer
260,airplane
261,cat
262,ship
263,deer
264,deer
265,frog
266,deer
267,bird
268,bird
269,horse
270,frog
271,cat
272,ship
273,deer
274,horse
275,horse
276,cat
277,frog
278,dog
279,dog
280,cat
281,frog
282,frog
283,deer
284,truck
285,frog
286,truck
287,ship
288,truck
289,ship
290,horse
291,automobile
292,deer
293,airplane
294,bird
295,ship
296,deer
297,frog
298,frog
299,cat
300,truck
301,frog
302,deer
303,frog
304,deer
305,frog
306,automobile
307,airplane
308,horse
309,cat
310,bird
311,automobile
312,bird
313,frog
314,horse
315,cat
316,dog
317,ship
318,cat
319,frog
320,frog
321,horse
322,deer
323,ship
324,dog
325,horse
326,ship
327,deer
328,dog
329,automobile
330,automobile
331,airplane
332,frog
333,bird
334,dog
335,cat
336,truck
337,cat
338,frog
339,deer
340,ship
341,ship
342,deer
343,deer
344,automobile
345,ship
346,deer
347,automobile
348,horse
349,truck
350,truck
351,deer
352,truck
353,frog
354,deer
355,deer
356,deer
357,airplane
358,frog
359,frog
360,bird
361,horse
362,airplane
363,deer
364,ship
365,frog
366,dog
367,cat
368,frog
369,ship
370,cat
371,frog
372,bird
373,deer
374,frog
375,dog
376,airplane
377,frog
378,frog
379,automobile
380,horse
381,truck
382,airplane
383,automobile
384,ship
385,ship
386,dog
387,horse
388,horse
389,dog
390,dog
391,frog
392,dog
393,frog
394,frog
395,frog
396,deer
397,frog
398,deer
399,dog
400,truck
401,ship
402,truck
403,deer
404,frog
405,bird
406,ship
407,automobile
408,truck
409,bird
410,deer
411,horse
412,deer
413,deer
414,airplane
415,truck
416,frog
417,deer
418,cat
419,cat
420,horse
421,frog
422,frog
423,ship
424,deer
425,bird
426,ship
427,deer
428,frog
429,ship
430,frog
431,frog
432,deer
433,airplane
434,bird
435,frog
436,deer
437,automobile
438,truck
439,frog
440,deer
441,truck
442,airplane
443,airplane
444,deer
445,bird
446,horse
447,horse
448,frog
449,deer
450,deer
451,cat
452,frog
453,bird
454,airplane
455,deer
456,frog
457,deer
458,cat
459,dog
460,truck
461,automobile
462,truck
463,dog
464,deer
465,ship
466,frog
467,frog
468,bird
469,frog
470,deer
471,horse
472,ship
473,frog
474,airplane
475,frog
476,dog
477,truck
478,horse
479,frog
480,truck
481,horse
482,ship
483,airplane
484,truck
485,cat
486,frog
487,deer
488,dog
489,ship
490,deer
491,truck
492,frog
493,frog
494,deer
495,automobile
496,horse
497,airplane
498,frog
499,cat
500,frog
501,ship
502,dog
503,airplane
504,deer
505,deer
506,cat
507,dog
508,frog
509,horse
510,frog
511,bird
512,frog
513,frog
514,deer
515,frog
516,ship
517,deer
518,automobile
519,ship
520,automobile
521,ship
522,dog
523,deer
524,truck
525,automobile
526,deer
527,frog
528,deer
529,frog
530,cat
531,frog
532,frog
533,bird
534,ship
535,truck
536,horse
537,airplane
538,deer
539,truck
540,dog
541,dog
542,cat
543,frog
544,deer
545,frog
546,deer
547,frog
548,dog
549,horse
550,horse
551,deer
552,frog
553,horse
554,frog
555,frog
556,frog
557,cat
558,ship
559,frog
560,dog
561,automobile
562,bird
563,cat
564,deer
565,deer
566,bird
567,bird
568,bird
569,frog
570,horse
571,airplane
572,frog
573,horse
574,truck
575,deer
576,bird
577,bird
578,automobile
579,ship
580,deer
581,frog
582,bird
583,deer
584,ship
585,truck
586,cat
587,dog
588,airplane
589,deer
590,airplane
591,horse
592,dog
593,deer
594,horse
595,frog
596,deer
597,frog
598,truck
599,dog
600,horse
601,deer
602,frog
603,frog
604,cat
605,truck
606,ship
607,bird
608,cat
609,horse
610,truck
611,ship
612,dog
613,automobile
614,ship
615,cat
616,bird
617,automobile
618,cat
619,horse
620,deer
621,frog
622,truck
623,frog
624,truck
625,bird
626,truck
627,truck
628,horse
629,horse
630,frog
631,airplane
632,deer
633,deer
634,horse
635,deer
636,automobile
637,deer
638,frog
639,airplane
640,dog
641,deer
642,cat
643,deer
644,horse
645,ship
646,automobile
647,cat
648,bird
649,deer
650,ship
651,deer
652,truck
653,cat
654,cat
655,deer
656,cat
657,deer
658,deer
659,frog
660,horse
661,deer
662,ship
663,ship
664,automobile
665,automobile
666,ship
667,deer
668,deer
669,frog
670,truck
671,dog
672,dog
673,frog
674,bird
675,horse
676,truck
677,frog
678,automobile
679,frog
680,deer
681,automobile
682,cat
683,airplane
684,horse
685,dog
686,horse
687,cat
688,cat
689,deer
690,frog
691,deer
692,ship
693,truck
694,deer
695,automobile
696,cat
697,dog
698,ship
699,automobile
700,frog
701,frog
702,cat
703,horse
704,horse
705,deer
706,bird
707,frog
708,deer
709,bird
710,deer
711,frog
712,automobile
713,frog
714,deer
715,deer
716,automobile
717,deer
718,deer
719,bird
720,dog
721,automobile
722,dog
723,dog
724,bird
725,frog
726,dog
727,cat
728,deer
729,horse
730,dog
731,horse
732,cat
733,truck
734,frog
735,horse
736,automobile
737,dog
738,horse
739,frog
740,deer
741,bird
742,dog
743,automobile
744,cat
745,frog
746,deer
747,horse
748,frog
749,frog
750,bird
751,truck
752,ship
753,automobile
754,deer
755,ship
756,ship
757,frog
758,frog
759,frog
760,automobile
761,frog
762,deer
763,deer
764,dog
765,airplane
766,airplane
767,deer
768,deer
769,deer
770,ship
771,frog
772,ship
773,dog
774,dog
775,deer
776,frog
777,airplane
778,bird
779,frog
780,horse
781,ship
782,deer
783,deer
784,airplane
785,frog
786,dog
787,frog
788,bird
789,airplane
790,bird
791,deer
792,frog
793,frog
794,cat
795,dog
796,ship
797,frog
798,frog
799,frog
800,airplane
801,frog
802,bird
803,deer
804,truck
805,airplane
806,bird
807,frog
808,deer
809,bird
810,dog
811,truck
812,truck
813,deer
814,deer
815,horse
816,deer
817,frog
818,cat
819,automobile
820,deer
821,frog
822,frog
823,frog
824,horse
825,airplane
826,bird
827,horse
828,deer
829,deer
830,deer
831,ship
832,deer
833,deer
834,bird
835,airplane
836,horse
837,deer
838,airplane
839,frog
840,ship
841,bird
842,deer
843,dog
844,automobile
845,dog
846,frog
847,horse
848,truck
849,automobile
850,ship
851,automobile
852,frog
853,bird
854,truck
855,dog
856,frog
857,ship
858,frog
859,dog
860,airplane
861,automobile
862,automobile
863,deer
864,deer
865,ship
866,deer
867,deer
868,dog
869,airplane
870,cat
871,frog
872,horse
873,deer
874,bird
875,truck
876,frog
877,deer
878,truck
879,frog
880,ship
881,frog
882,frog
883,frog
884,frog
885,deer
886,frog
887,bird
888,cat
889,horse
890,dog
891,dog
892,horse
893,deer
894,automobile
895,horse
896,frog
897,deer
898,ship
899,frog
900,bird
901,frog
902,automobile
903,horse
904,airplane
905,deer
906,bird
907,frog
908,bird
909,airplane
910,deer
911,frog
912,dog
913,deer
914,ship
915,truck
916,ship
917,horse
918,frog
919,automobile
920,frog
